Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
7,plup,P L AH P,56,control,natural,NatCon,4.273,0,0.00000415,line,2,159.7516,5.073620109
8,plup,P L AH P,48,control,natural,NatCon,4.273,0,0.00000415,line,2,141.9508,4.955480519
9,plup,P L AH P,2,control,natural,NatCon,4.273,0,0.00000415,line,1,259.1478,5.557398555
10,plup,P L AH P,71,control,natural,NatCon,4.273,0,0.00000415,line,1,237.6853,5.47094753
11,plup,P L AH P,54,control,natural,NatCon,4.273,0,0.00000415,line,1,37.81337,3.632662744
12,plup,P L AH P,4,control,natural,NatCon,4.273,0,0.00000415,line,2,434.2996,6.073734619
13,plup,P L AH P,21,control,natural,NatCon,4.273,0,0.00000415,line,2,61.21942,4.114464459
14,plup,P L AH P,78,control,natural,NatCon,4.273,0,0.00000415,line,2,424.5403,6.051006936
15,plup,P L AH P,34,control,natural,NatCon,4.273,0,0.00000415,line,2,81.75,4.40366581
16,plup,P L AH P,54,control,natural,NatCon,4.273,0,0.00000415,line,2,260.45,5.562410904
17,plup,P L AH P,4,control,natural,NatCon,4.273,0,0.00000415,line,2,130.4175,4.870740843
18,plup,P L AH P,32,control,natural,NatCon,4.273,0,0.00000415,line,2,68.38032,4.225085064
19,plup,P L AH P,68,control,natural,NatCon,4.273,0,0.00000415,line,1,325.6266,5.785751326
20,plup,P L AH P,80,control,natural,NatCon,4.273,0,0.00000415,line,2,111.125,4.710655694
21,plup,P L AH P,56,control,natural,NatCon,4.273,0,0.00000415,line,2,386.1182,5.95614354
22,plup,P L AH P,74,control,natural,NatCon,4.273,0,0.00000415,line,2,141.9583,4.955533353
23,plup,P L AH P,14,control,natural,NatCon,4.273,0,0.00000415,line,2,304.7318,5.719432045
24,plup,P L AH P,23,control,natural,NatCon,4.273,0,0.00000415,line,2,167.9897,5.123902668
25,plup,P L AH P,17,control,natural,NatCon,4.273,0,0.00000415,line,2,52.09391,3.953048051
26,plup,P L AH P,79,control,natural,NatCon,4.273,0,0.00000415,line,1,24.75124,3.208875589
27,plup,P L AH P,69,control,natural,NatCon,4.273,0,0.00000415,line,2,135.0477,4.905628049
28,plup,P L AH P,66,control,natural,NatCon,4.273,0,0.00000415,line,2,287.856,5.662460355
